
begin to compute gravity matrix
computing 82-th point: lon=97.500001 lat=23.657614
computing 4897-th point: lon=99.266698 lat=23.923111
computing 7279-th point: lon=100.133298 lat=23.392139
computing 83-th point: lon=97.500001 lat=23.624468
computing 4898-th point: lon=99.266698 lat=23.889861
computing 2454-th point: lon=98.366697 lat=23.458535
computing 84-th point: lon=97.500001 lat=23.591218
computing 7280-th point: lon=100.133298 lat=23.358992
computing 4899-th point: lon=99.266698 lat=23.856714
computing 85-th point: lon=97.500001 lat=23.558078
computing 7281-th point: lon=100.166705 lat=26.345977
computing 4900-th point: lon=99.266698 lat=23.823561
computing 2455-th point: lon=98.366697 lat=23.425381
computing 86-th point: lon=97.500001 lat=23.524924
computing 7282-th point: lon=100.166705 lat=26.312809
computing 4901-th point: lon=99.266698 lat=23.790311
computing 87-th point: lon=97.500001 lat=23.491682
computing 7283-th point: lon=100.166705 lat=26.279546
computing 2456-th point: lon=98.366697 lat=23.392139
computing 4902-th point: lon=99.266698 lat=23.757164
computing 88-th point: lon=97.500001 lat=23.458535
computing 7284-th point: lon=100.166705 lat=26.246386
computing 4903-th point: lon=99.266698 lat=23.724018
computing 89-th point: lon=97.500001 lat=23.425381
computing 2457-th point: lon=98.366697 lat=23.358992
computing 7285-th point: lon=100.166705 lat=26.213219
computing 4904-th point: lon=99.266698 lat=23.690768
computing 90-th point: lon=97.500001 lat=23.392139
computing 2458-th point: lon=98.400001 lat=26.345977
computing 7286-th point: lon=100.166705 lat=26.179955
computing 91-th point: lon=97.500001 lat=23.358992
computing 4905-th point: lon=99.266698 lat=23.657614
computing 2459-th point: lon=98.400001 lat=26.312809
computing 7287-th point: lon=100.166705 lat=26.146795
computing 92-th point: lon=97.533305 lat=26.345977
computing 4906-th point: lon=99.266698 lat=23.624468
computing 2460-th point: lon=98.400001 lat=26.279546
computing 7288-th point: lon=100.166705 lat=26.113634
computing 93-th point: lon=97.533305 lat=26.312809
computing 4907-th point: lon=99.266698 lat=23.591218
computing 2461-th point: lon=98.400001 lat=26.246386
computing 7289-th point: lon=100.166705 lat=26.080365
computing 94-th point: lon=97.533305 lat=26.279546
computing 4908-th point: lon=99.266698 lat=23.558078
computing 95-th point: lon=97.533305 lat=26.246386
computing 7290-th point: lon=100.166705 lat=26.047204
computing 2462-th point: lon=98.400001 lat=26.213219
computing 4909-th point: lon=99.266698 lat=23.524924
computing 7291-th point: lon=100.166705 lat=26.014043
computing 96-th point: lon=97.533305 lat=26.213219
computing 2463-th point: lon=98.400001 lat=26.179955
computing 4910-th point: lon=99.266698 lat=23.491682
computing 97-th point: lon=97.533305 lat=26.179955
computing 2464-th point: lon=98.400001 lat=26.146795
computing 7292-th point: lon=100.166705 lat=25.980780
computing 4911-th point: lon=99.266698 lat=23.458535
computing 98-th point: lon=97.533305 lat=26.146795
computing 2465-th point: lon=98.400001 lat=26.113634
computing 7293-th point: lon=100.166705 lat=25.947620
computing 99-th point: lon=97.533305 lat=26.113634
computing 4912-th point: lon=99.266698 lat=23.425381
computing 7294-th point: lon=100.166705 lat=25.914459
computing 2466-th point: lon=98.400001 lat=26.080365
computing 100-th point: lon=97.533305 lat=26.080365
computing 4913-th point: lon=99.266698 lat=23.392139
computing 7295-th point: lon=100.166705 lat=25.881196
computing 2467-th point: lon=98.400001 lat=26.047204
computing 101-th point: lon=97.533305 lat=26.047204
computing 4914-th point: lon=99.266698 lat=23.358992
computing 7296-th point: lon=100.166705 lat=25.848036
computing 2468-th point: lon=98.400001 lat=26.014043
computing 102-th point: lon=97.533305 lat=26.014043
computing 4915-th point: lon=99.300002 lat=26.345977
computing 7297-th point: lon=100.166705 lat=25.814868
computing 103-th point: lon=97.533305 lat=25.980780
computing 2469-th point: lon=98.400001 lat=25.980780
computing 4916-th point: lon=99.300002 lat=26.312809
computing 7298-th point: lon=100.166705 lat=25.781612
computing 104-th point: lon=97.533305 lat=25.947620
computing 4917-th point: lon=99.300002 lat=26.279546
computing 2470-th point: lon=98.400001 lat=25.947620
computing 7299-th point: lon=100.166705 lat=25.748451
computing 105-th point: lon=97.533305 lat=25.914459
computing 4918-th point: lon=99.300002 lat=26.246386
computing 2471-th point: lon=98.400001 lat=25.914459
computing 106-th point: lon=97.533305 lat=25.881196
computing 7300-th point: lon=100.166705 lat=25.715291
computing 2472-th point: lon=98.400001 lat=25.881196
computing 4919-th point: lon=99.300002 lat=26.213219
computing 107-th point: lon=97.533305 lat=25.848036
computing 7301-th point: lon=100.166705 lat=25.682028
computing 2473-th point: lon=98.400001 lat=25.848036
computing 108-th point: lon=97.533305 lat=25.814868
computing 4920-th point: lon=99.300002 lat=26.179955
computing 7302-th point: lon=100.166705 lat=25.648867
computing 2474-th point: lon=98.400001 lat=25.814868
computing 109-th point: lon=97.533305 lat=25.781612
computing 4921-th point: lon=99.300002 lat=26.146795
computing 7303-th point: lon=100.166705 lat=25.615707
computing 110-th point: lon=97.533305 lat=25.748451
computing 2475-th point: lon=98.400001 lat=25.781612
computing 4922-th point: lon=99.300002 lat=26.113634
computing 7304-th point: lon=100.166705 lat=25.582451
computing 4923-th point: lon=99.300002 lat=26.080365
computing 2476-th point: lon=98.400001 lat=25.748451
computing 111-th point: lon=97.533305 lat=25.715291
computing 7305-th point: lon=100.166705 lat=25.549290
computing 112-th point: lon=97.533305 lat=25.682028
computing 4924-th point: lon=99.300002 lat=26.047204
computing 2477-th point: lon=98.400001 lat=25.715291
computing 7306-th point: lon=100.166705 lat=25.516129
computing 113-th point: lon=97.533305 lat=25.648867
computing 4925-th point: lon=99.300002 lat=26.014043
computing 2478-th point: lon=98.400001 lat=25.682028
computing 114-th point: lon=97.533305 lat=25.615707
computing 7307-th point: lon=100.166705 lat=25.482873
computing 4926-th point: lon=99.300002 lat=25.980780
computing 2479-th point: lon=98.400001 lat=25.648867
computing 115-th point: lon=97.533305 lat=25.582451
computing 7308-th point: lon=100.166705 lat=25.449713
computing 4927-th point: lon=99.300002 lat=25.947620
computing 2480-th point: lon=98.400001 lat=25.615707
computing 116-th point: lon=97.533305 lat=25.549290
computing 7309-th point: lon=100.166705 lat=25.416552
computing 4928-th point: lon=99.300002 lat=25.914459
computing 2481-th point: lon=98.400001 lat=25.582451
computing 117-th point: lon=97.533305 lat=25.516129
computing 7310-th point: lon=100.166705 lat=25.383296
computing 4929-th point: lon=99.300002 lat=25.881196
computing 2482-th point: lon=98.400001 lat=25.549290
computing 118-th point: lon=97.533305 lat=25.482873
computing 7311-th point: lon=100.166705 lat=25.350135
computing 4930-th point: lon=99.300002 lat=25.848036
computing 119-th point: lon=97.533305 lat=25.449713
computing 2483-th point: lon=98.400001 lat=25.516129
computing 7312-th point: lon=100.166705 lat=25.316975
computing 4931-th point: lon=99.300002 lat=25.814868
computing 120-th point: lon=97.533305 lat=25.416552
computing 7313-th point: lon=100.166705 lat=25.283719
computing 2484-th point: lon=98.400001 lat=25.482873
computing 4932-th point: lon=99.300002 lat=25.781612
computing 121-th point: lon=97.533305 lat=25.383296
computing 7314-th point: lon=100.166705 lat=25.250558
computing 2485-th point: lon=98.400001 lat=25.449713
computing 4933-th point: lon=99.300002 lat=25.748451
computing 122-th point: lon=97.533305 lat=25.350135
computing 7315-th point: lon=100.166705 lat=25.217404
computing 123-th point: lon=97.533305 lat=25.316975
computing 4934-th point: lon=99.300002 lat=25.715291
computing 2486-th point: lon=98.400001 lat=25.416552
computing 7316-th point: lon=100.166705 lat=25.184148
computing 124-th point: lon=97.533305 lat=25.283719
computing 4935-th point: lon=99.300002 lat=25.682028
computing 125-th point: lon=97.533305 lat=25.250558
computing 7317-th point: lon=100.166705 lat=25.150987
computing 4936-th point: lon=99.300002 lat=25.648867
computing 2487-th point: lon=98.400001 lat=25.383296
computing 126-th point: lon=97.533305 lat=25.217404
computing 7318-th point: lon=100.166705 lat=25.117834
computing 4937-th point: lon=99.300002 lat=25.615707
computing 2488-th point: lon=98.400001 lat=25.350135
computing 127-th point: lon=97.533305 lat=25.184148
computing 7319-th point: lon=100.166705 lat=25.084578
computing 4938-th point: lon=99.300002 lat=25.582451
computing 2489-th point: lon=98.400001 lat=25.316975
computing 128-th point: lon=97.533305 lat=25.150987
computing 7320-th point: lon=100.166705 lat=25.051417
computing 4939-th point: lon=99.300002 lat=25.549290
computing 2490-th point: lon=98.400001 lat=25.283719
computing 129-th point: lon=97.533305 lat=25.117834
computing 7321-th point: lon=100.166705 lat=25.018263
computing 4940-th point: lon=99.300002 lat=25.516129
computing 2491-th point: lon=98.400001 lat=25.250558
computing 130-th point: lon=97.533305 lat=25.084578
computing 4941-th point: lon=99.300002 lat=25.482873
computing 7322-th point: lon=100.166705 lat=24.985007
computing 131-th point: lon=97.533305 lat=25.051417
computing 2492-th point: lon=98.400001 lat=25.217404
computing 4942-th point: lon=99.300002 lat=25.449713
computing 7323-th point: lon=100.166705 lat=24.951853
computing 132-th point: lon=97.533305 lat=25.018263
computing 2493-th point: lon=98.400001 lat=25.184148
computing 4943-th point: lon=99.300002 lat=25.416552
computing 7324-th point: lon=100.166705 lat=24.918693
computing 133-th point: lon=97.533305 lat=24.985007
computing 2494-th point: lon=98.400001 lat=25.150987
computing 4944-th point: lon=99.300002 lat=25.383296
computing 7325-th point: lon=100.166705 lat=24.885437
computing 134-th point: lon=97.533305 lat=24.951853
computing 2495-th point: lon=98.400001 lat=25.117834
computing 4945-th point: lon=99.300002 lat=25.350135
computing 7326-th point: lon=100.166705 lat=24.852283
computing 135-th point: lon=97.533305 lat=24.918693
computing 2496-th point: lon=98.400001 lat=25.084578
computing 4946-th point: lon=99.300002 lat=25.316975
computing 7327-th point: lon=100.166705 lat=24.819129
computing 136-th point: lon=97.533305 lat=24.885437
computing 2497-th point: lon=98.400001 lat=25.051417
computing 4947-th point: lon=99.300002 lat=25.283719
computing 137-th point: lon=97.533305 lat=24.852283
computing 7328-th point: lon=100.166705 lat=24.785873
computing 2498-th point: lon=98.400001 lat=25.018263
computing 4948-th point: lon=99.300002 lat=25.250558
computing 138-th point: lon=97.533305 lat=24.819129
computing 7329-th point: lon=100.166705 lat=24.752719
computing 139-th point: lon=97.533305 lat=24.785873
computing 4949-th point: lon=99.300002 lat=25.217404
computing 2499-th point: lon=98.400001 lat=24.985007
computing 7330-th point: lon=100.166705 lat=24.719565
computing 140-th point: lon=97.533305 lat=24.752719
computing 4950-th point: lon=99.300002 lat=25.184148
computing 2500-th point: lon=98.400001 lat=24.951853
computing 7331-th point: lon=100.166705 lat=24.686309
computing 4951-th point: lon=99.300002 lat=25.150987
computing 141-th point: lon=97.533305 lat=24.719565
computing 7332-th point: lon=100.166705 lat=24.653155
computing 2501-th point: lon=98.400001 lat=24.918693
computing 4952-th point: lon=99.300002 lat=25.117834
computing 7333-th point: lon=100.166705 lat=24.620002
computing 142-th point: lon=97.533305 lat=24.686309
computing 4953-th point: lon=99.300002 lat=25.084578
computing 2502-th point: lon=98.400001 lat=24.885437
computing 7334-th point: lon=100.166705 lat=24.586746
computing 143-th point: lon=97.533305 lat=24.653155
computing 4954-th point: lon=99.300002 lat=25.051417
computing 2503-th point: lon=98.400001 lat=24.852283
computing 144-th point: lon=97.533305 lat=24.620002
computing 7335-th point: lon=100.166705 lat=24.553592
computing 4955-th point: lon=99.300002 lat=25.018263
computing 2504-th point: lon=98.400001 lat=24.819129
computing 145-th point: lon=97.533305 lat=24.586746
